site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"08038000","Attoyac Bayou nr Chireno, TX",-94.30436770,31.50434957,503,14,8,22,0,26,0,2019-05-21,8700,2019-05-21,19.65,36,82,50000,1902
"08039100","Ayish Bayou nr San Augustine, TX",-94.15102890,31.39629597,89.0,12,1,16,0,17,0,2019-05-20,1820,2019-05-20,12.75,48,60,42100,2008
"08040600","Neches Rv nr Town Bluff, TX",-94.15102370,30.79103579,7574,68,4,72,0,82.5,0,2019-05-20,21600,2019-05-20,69.00,30,68,120000,1884
"08041700","Pine Island Bayou nr Sour Lake, TX",-94.33463240,30.10604640,336,25,1,29,0,32,0,2019-05-20,1810,2019-05-20,25.16,46,50,50500,2017
"08041780","Neches Rv Saltwater Barrier at Beaumont, TX",-94.11434690,30.15687800,9789,4,7,6,0,8,0,2019-05-20,25700,2019-05-20,5.13,10,13,232000,2017
"08044500","W Fk Trinity Rv nr Boyd, TX",-97.55863600,33.08539917,1725,16,5,20,0,24,0,2019-05-21,4240,2019-05-21,17.59,31,70,60400,1981
"08053500","Denton Ck nr Justin, TX",-97.29057320,33.11901003,400,10,1,15,0,17,0,2019-05-20,1990,2019-05-20,10.71,50,68,34700,1981
"08055500","Elm Fk Trinity Rv nr Carrollton, TX",-96.94445000,32.96595700,2459,8,4,10,0,12,0,2019-05-27,7050,2019-05-27,8.40,57,95,145000,1908
"08057000","Trinity Rv at Dallas, TX",-96.82194640,32.77485170,6106,30,5,38,0,40,0,2019-05-20,22400,2019-05-20,36.15,59,114,184000,1908
"08062500","Trinity Rv nr Rosser, TX",-96.46304150,32.42652988,8147,31,1,36,0,38,0,2019-05-21,28400,2019-05-21,31.12,40,81,150000,1942
"08062700","Trinity Rv at Trinidad, TX",-96.10247080,32.14765255,8538,33,8,40,0,46,0,2019-05-24,24000,2019-05-24,39.07,38,53,94500,1990
"08065000","Trinity Rv nr Oakwood, TX",-95.78940290,31.64850597,12833,35,8,40,5,45,0,2019-05-20,47400,2019-05-20,44.34,40,96,180000,1890
"08065350","Trinity Rv nr Crockett, TX",-95.65634070,31.33851319,13911,41,6,45,3,48,0,2019-05-20,59800,2019-05-20,45.88,11,55,109000,1990
"08066000","Trinity Rv at Riverside, TX",-95.39883000,30.85935514,15589,133.5,8,136,8,140,0,-999,-999,2019-05-25,136.83,-999,-999,-999,-999
"08067000","Trinity Rv at Liberty, TX",-94.81825670,30.05771539,17468,26,8,27,8,29,1,2019-05-20,52400,2019-05-20,29.14,29,77,135000,1994
"08067100","Trinity Rv nr Moss Bluff, TX",-94.77436600,29.94188470,17573,12.2,8,15.2,0,17.2,0,-999,-999,2019-05-20,14.48,-999,-999,-999,-999
"08068500","Spring Ck nr Spring, TX",-95.43632750,30.11049517,409,-999,-999,-999,-999,-999,-999,2019-05-20,382,2019-05-20,75.21,80,80,78800,1994
"08069500","W Fk San Jacinto Rv nr Humble, TX",-95.25798880,30.02716385,1741,-999,-999,-999,-999,-999,-999,2019-05-21,2430,2019-05-20,42.69,-9,26,187000,1940
"08110500","Navasota Rv nr Easterly, TX",-96.29774300,31.17018205,968,19,3,23,2,26,0,2019-05-20,21600,2019-05-20,24.31,36,94,90000,1899
"08110800","Navasota Rv at Old San Antonio Rd nr Bryan, TX",-96.24162740,30.97379870,1287,15,3,18,0,20,0,2019-05-21,9440,2019-05-21,16.70,17,21,54300,2009
"08170950","Blanco Rv at Fischer Store Rd nr Fischer, TX",-98.20036110,30.00058333,-999,17,8,23,0,38,0,2019-05-20,354,2019-05-24,21.65,-999,-999,-999,-999
"08177520","Guadalupe Rv nr Bloomington, TX",-96.96527780,28.66194444,5816,20,2,24,0,27,0,2019-05-20,3740,2019-05-20,20.38,-999,-999,-999,-999
"411925089063901","ILLINOIS RIVER NEAR LA SALLE, IL (CORPS)",-89.11091680,41.32364590,12572,20,8,27,0,31,0,-999,-999,2019-05-24,25.26,-999,-999,-999,-999
