site_no,station_nm,dec_long_va,dec_lat_va,drain_area_va,flood_stage,flood_nu,moderate_flood_stage,moderate_flood_nu,major_flood_stage,major_flood_nu,flow_dt,flow_va,stage_dt,stage_va,peak_rank,peak_count,peak_max,peak_max_yr
"07074850","White River near Augusta, AR",-91.39416670,35.29444444,20500,26,8,34,0,36,0,2019-05-20,55700,2019-05-20,31.81,23,80,267000,2017
"07076750","White River at Georgetown, AR",-91.44972220,35.12888889,22400,21,7,24,0,28,0,2019-05-20,56600,2019-05-20,22.10,27,103,179000,1982
"07141200","PAWNEE R AT ROZEL, KS",-99.40622470,38.20751450,2148,31,4,33,3,35,0,2019-05-25,5440,2019-05-25,34.53,14,93,16300,1958
"07141300","ARKANSAS R AT GREAT BEND, KS",-98.76425190,38.35306787,34356,12,3,16,0,18,0,2019-05-27,10200,2019-05-27,14.17,7,78,27800,1965
"07141900","WALNUT C AT ALBERT, KS",-99.01481700,38.46167948,1618,24,3,25,3,25.7,0,2019-05-27,2530,2019-05-26,25.11,12,60,12700,1959
"07143300","COW C NR LYONS, KS",-98.19200450,38.30834380,728,18,5,22,0,24.7,0,2019-05-21,5240,2019-05-21,18.57,13,73,28000,1929
"07143310","COW C NR HUTCHINSON, KS",-98.00783150,38.14417747,859.5,9.5,8,10.5,8,12.5,0,-999,-999,2019-05-22,12.00,-999,-999,-999,-999
"07143330","ARKANSAS R NR HUTCHINSON, KS",-97.77504880,37.94640028,38910,10,7,11,7,12,3,2019-05-22,16500,2019-05-22,12.81,5,58,24700,1973
"07143665","L ARKANSAS R AT ALTA MILLS, KS",-97.59198700,38.11223260,736,22,6,25,2,27,0,2019-05-22,9790,2019-05-22,25.63,10,45,30100,1973
"07143672","L ARKANSAS R AT HWY 50 NR HALSTEAD, KS",-97.54059700,38.02862230,759,25,6,27,2,29,0,2019-05-22,9800,2019-05-22,27.09,3,22,11000,2007
"07144050","EMMA C AT SEDGWICK, KS",-97.44545560,37.98512778,-999,19,2,-999,-999,-999,-999,2019-05-21,7610,2019-05-21,20.17,1,3,7308,2016
"07144100","L ARKANSAS R NR SEDGWICK, KS",-97.42448640,37.88306739,1239,22,7,25,2,26,0,2019-05-22,19400,2019-05-22,25.82,1,24,17600,1998
"07144480","COWSKIN C AT 119TH ST AT WICHITA, KS",-97.48087970,37.70167994,86,18,3,22,0,24,0,2019-05-21,3010,2019-05-21,19.56,7,17,5870,2009
"07144550","ARKANSAS R AT DERBY, KS",-97.27559990,37.54418457,40830,12,7,15,3,16.2,0,2019-05-22,40300,2019-05-24,15.53,7,49,58300,1998
"07144570","ARKANSAS R AT MULVANE, KS",-97.26127220,37.47550278,40870.00,16.5,7,19,6,21,0,2019-05-25,40800,2019-05-25,20.28,1,3,28238,2016
"07145200","SF NINNESCAH R NR MURDOCK, KS",-97.85310940,37.56168300,597,8,6,10,2,12,0,2019-05-21,12000,2019-05-21,11.05,14,67,28700,1979
"07145500","NINNESCAH R NR PECK, KS",-97.42393530,37.45696360,2129,17,6,21,0,26,0,2019-05-22,23700,2019-05-22,19.92,13,81,70000,1923
"07145600","ARKANSAS R ON HWY 160 AT OXFORD, KS",-97.16226390,37.27440556,43801.00,17,7,20,6,23,0,2019-05-23,50200,2019-05-23,21.53,1,4,36449,2016
"07145700","SLATE C AT WELLINGTON, KS",-97.40365690,37.24946707,154,19,7,23,0,25,0,2019-05-21,6990,2019-05-21,22.90,15,58,28500,1975
"07146500","ARKANSAS R AT ARKANSAS CITY, KS",-97.03921940,37.03750830,43713,11,8,17,7,21,0,2019-05-27,61500,2019-05-27,20.33,10,100,103000,1923
"07146800","WB WALNUT R NR EL DORADO, KS",-96.84916670,37.82666667,62.00,21,2,22,0,24,0,2019-05-25,6950,2019-05-25,21.41,1,8,6469,2016
"07147190","WHITEWATER R AT AUGUSTA, KS",-96.99638890,37.67972220,456.00,21,7,25,4,30,0,-999,-999,2019-05-25,27.83,-999,-999,-999,-999
"07147800","WALNUT R AT WINFIELD, KS",-96.99614750,37.22391557,1880,18,8,22,7,29,5,2019-05-22,56600,2019-05-22,35.38,10,99,105000,1944
"07147900","WALNUT R AT ARKANSAS CITY, KS",-97.02587090,37.05641826,1952,18,7,22,6,28,0,-999,-999,2019-05-22,26.08,-999,-999,-999,-999
"07148400","Salt Fork Arkansas River nr Alva, OK",-98.64813950,36.81503056,982,14.5,2,16.5,0,18,0,2019-05-26,12400,2019-05-26,15.49,10,54,27000,1941
"07149000","MEDICINE LODGE R NR KIOWA, KS",-98.47090920,37.03891547,903,10,4,12,0,13,0,2019-05-27,6840,2019-05-27,11.67,14,74,16000,1941
"07151000","Salt Fork Arkansas River at Tonkawa, OK",-97.30948870,36.67197920,4470,17,8,20,7,25,3,2019-05-22,51900,2019-05-22,26.63,3,85,97300,1973
"07151500","CHIKASKIA R NR CORBIN, KS",-97.60199450,37.12891225,794,10,7,19,0,28,0,2019-05-27,19700,2019-05-27,17.40,12,59,60000,1923
"07152000","Chikaskia River near Blackwell, OK",-97.27726500,36.81142110,1876,29,5,30,5,32,3,2019-05-21,49300,2019-05-21,34.35,13,83,100000,1923
"07152500","Arkansas River at Ralston, OK",-96.72836720,36.50421677,54208,16,8,18,7,21,6,2019-05-23,185000,2019-05-23,22.14,3,95,211000,1973
"07153000","Black Bear Creek at Pawnee, OK",-96.79947880,36.34366537,538,17,8,21,5,25,2,2019-05-21,19500,2019-05-21,26.18,2,75,30200,1959
"07157950","Cimarron River near Buffalo, OK",-99.31538700,36.85197484,12205,9,2,10,0,12,0,2019-05-27,6270,2019-05-27,9.23,12,51,26400,1973
"07158000","Cimarron River near Waynoka, OK",-98.87953660,36.51725644,13399,8,8,10,3,12,0,2019-05-26,19700,2019-05-26,11.32,23,82,94500,1957
"07159100","Cimarron River near Dover, OK",-97.91449940,35.95170756,15809,17,7,20,7,22,2,2019-05-22,46600,2019-05-22,22.16,8,44,123000,1986
"07159750","Cottonwood Creek near Seward, OK",-97.47809700,35.81366006,320,30,2,35,1,40,0,2019-05-21,27500,2019-05-21,37.26,4,25,43500,1995
"07160000","Cimarron River near Guthrie, OK",-97.42587460,35.92060230,17006,18,6,22,0,25,0,2019-05-21,62100,2019-05-21,21.79,10,75,158000,1957
"07160350","Skeleton Creek at Enid, OK",-97.80033320,36.37614490,70,11,2,13,2,15,1,2019-05-20,8250,2019-05-20,15.25,2,21,9860,2008
"07160500","Skeleton Creek near Lovell, OK",-97.58504710,36.06004045,412,35,6,38,5,41,4,2019-05-21,27200,2019-05-21,43.48,8,62,75200,1957
"07161450","Cimarron River near Ripley, OK",-96.91225040,35.98589270,18117,17,7,20,7,22,6,2019-05-26,99600,2019-05-22,26.60,3,30,141000,1993
"07164500","Arkansas River at Tulsa, OK",-96.00638660,36.14064807,74460,18,6,20,6,22,5,2019-05-27,266000,2019-05-27,22.90,2,113,307000,1986
"07164600","Joe Creek at 61st St at Tulsa, OK",-95.96055010,36.07565044,11.6,8,1,-999,-999,12,0,2019-05-20,8460,2019-05-20,8.59,6,29,11600,2000
"07165562","Haikey Creek at 101st St South at Tulsa, OK",-95.84887770,36.01704297,17.9,16,2,19,2,24.5,0,2019-05-21,5310,2019-05-21,22.77,6,30,7100,2000
"07165570","Arkansas River near Haskell, OK",-95.63777780,35.82277778,75293,19,6,21,6,23,4,2019-05-27,261000,2019-05-27,23.49,1,45,259000,1986
"07166500","VERDIGRIS R NR ALTOONA, KS",-95.67470300,37.52977640,1094,19,7,21,2,26,0,2019-05-26,29600,2019-05-26,21.79,12,79,71000,1951
"07169500","FALL R AT FREDONIA, KS",-95.83359240,37.50838374,827,17,6,27,5,36,0,2019-05-26,28700,2019-05-26,31.77,11,83,77800,2007
"07170500","VERDIGRIS R AT INDEPENDENCE, KS",-95.67775730,37.22368014,2892,30,8,47.6,0,53,0,2019-05-27,75900,2019-05-27,45.35,10,103,168823,2017
"07171000","Verdigris River near Lenapah, OK",-95.58608820,36.85119615,3584,30,7,32,7,36,3,2019-05-22,52900,2019-05-23,36.76,10,79,192000,2007
"07174400","Caney River above Coon Creek at Bartlesville, OK",-95.97220640,36.75564425,1369,13,7,15,5,19,0,2019-05-21,20500,2019-05-21,18.21,4,32,94500,1986
"07175500","Caney River near Ramona, OK",-95.84193060,36.50898160,1936,26,7,28,6,31,0,2019-05-23,50400,2019-05-23,29.59,2,79,85600,1986
"07176000","Verdigris River near Claremore, OK",-95.69972220,36.30750000,6451,36,5,40,4,44,2,2019-05-27,93100,2019-05-27,45.46,3,83,182000,1943
"07176500","Bird Creek at Avant, OK",-96.06027430,36.48508798,369,17,4,21,4,26,4,2019-05-21,37800,2019-05-21,36.52,1,72,32400,1959
"07177500","Bird Creek near Sperry, OK",-95.95416200,36.27842534,907,21,7,24,4,29,3,2019-05-22,45000,2019-05-22,31.55,6,79,90000,1959
"07178000","Bird Creek near Owasso, OK",-95.86721300,36.24870534,1017,18,7,20,6,24,5,2019-05-23,37900,2019-05-23,29.84,1,38,29200,1993
"07179730","NEOSHO R NR AMERICUS, KS",-96.25055330,38.46695699,622,26,2,27,0,40,0,2019-05-22,11900,2019-05-22,26.47,11,54,17400,1993
"07180400","COTTONWOOD R NR FLORENCE, KS",-96.87724360,38.23612850,754,22,2,27,0,32,0,2019-05-22,19400,2019-05-22,26.11,10,57,73700,1998
"07182250","COTTONWOOD R NR PLYMOUTH, KS",-96.35611200,38.39751390,1740,32,7,34,0,37,0,2019-05-22,29100,2019-05-22,33.91,6,55,92900,1998
"07182260","COTTONWOOD R AT EMPORIA, KS",-96.18141670,38.38511110,1833.00,20,7,24,7,32,0,2019-05-23,18200,2019-05-23,25.50,2,4,18672,2017
"07182390","NEOSHO R AT NEOSHO RAPIDS, KS",-96.00026870,38.36807120,2753,22,7,23,7,44,0,-999,-999,2019-05-22,26.34,-999,-999,-999,-999
"07182510","NEOSHO R AT BURLINGTON, KS",-95.73526400,38.19446678,3042,27,6,40,0,45,0,2019-05-26,36500,2019-05-26,32.73,1,57,26200,1961
"07183000","NEOSHO R NR IOLA, KS",-95.42775960,37.92225778,3723,15,8,21,2,27,0,2019-05-25,54800,2019-05-25,21.38,9,111,436000,1951
"07183300","NEOSHO R NR ERIE, KS",-95.26436110,37.54950000,4547.00,29,8,32,7,36,7,-999,-999,2019-05-27,38.92,-999,-999,-999,-999
"07183500","NEOSHO R NR PARSONS, KS",-95.10996870,37.34005866,4905,21,8,23,8,32,0,2019-05-27,64500,2019-05-27,29.33,7,96,410000,1951
"07184000","LIGHTNING C NR MCCUNE, KS",-95.03274280,37.28117110,197,12,8,17,2,21,0,2019-05-21,19600,2019-05-21,17.80,13,67,67500,1993
"07185000","Neosho River near Commerce, OK",-94.95745740,36.92868144,5926,15,8,18,7,24,5,2019-05-24,90900,2019-05-24,25.51,7,82,267000,1951
"07185765","Spring River at Carthage, MO",-94.32591670,37.18863889,425,10,4,14,3,20,0,2019-05-23,28500,2019-05-23,17.98,4,30,40600,2015
"07186000","Spring River near Waco, MO",-94.56641670,37.24561110,1164,19,6,30,0,33,0,2019-05-24,54400,2019-05-24,27.97,9,95,151000,1993
"07187000","Shoal Creek above Joplin, MO",-94.51655560,37.02316667,427,11.5,3,16,0,18,0,2019-05-23,15700,2019-05-23,15.62,20,94,62100,1943
"07187600","SPRING R NR BAXTER SPRINGS, KS",-94.72105950,37.02367570,2448,14,7,22,4,30,0,2019-05-23,98500,2019-05-23,27.35,3,8,145714,2015
"07188000","Spring River near Quapaw, OK",-94.74717110,36.93451148,2516,20,7,24,6,30,3,2019-05-23,108000,2019-05-23,33.82,5,79,230000,1993
"07188653","Big Sugar Creek near Powell, MO",-94.18222220,36.61586110,141,10,1,15,0,20,0,2019-05-21,4440,2019-05-21,10.70,12,17,30900,2013
"07188838","Little Sugar Creek near Pineville, MO",-94.37326930,36.58396200,195,6,3,-999,-999,-999,-999,2019-05-21,6540,2019-05-21,12.12,8,13,26500,2015
"07189000","Elk River near Tiff City, Mo",-94.58688860,36.63146127,851,15,2,20,0,25,0,2019-05-21,28600,2019-05-21,18.00,31,78,137000,1941
"07189100","Buffalo Creek at Tiff City, MO",-94.60411190,36.67090486,60.8,10,2,12,0,-999,-999,2019-05-23,6280,2019-05-23,10.85,9,17,26300,2011
"07194500","Arkansas River near Muskogee, OK",-95.29718670,35.76954320,96472,28,7,32,7,34,6,2019-05-26,617000,2019-05-26,46.39,2,60,700000,1943
"07228500","Canadian River at Bridgeport, OK",-98.31783880,35.54366175,24698,14,6,16,5,17,2,2019-05-26,24900,2019-05-26,17.36,25,70,150000,1948
"07228940","Canadian River near Mustang, OK",-97.72361110,35.32416667,25134,12,2,14,0,16,0,2019-05-22,16000,2019-05-22,13.61,5,11,73500,2007
"07229050","Canadian River at Norman, OK",-97.48503390,35.19451115,25296,94,3,96,2,99,0,2019-05-21,14700,2019-05-21,96.03,5,13,49700,2007
"07235000","Wolf Ck at Lipscomb, TX",-100.27568890,36.23864885,697,9.5,1,11.5,0,16,0,2019-05-24,3810,2019-05-24,10.36,17,61,25400,2007
"07237500","North Canadian River at Woodward, OK",-99.27843830,36.43670336,11883,9,1,11,0,12,0,2019-05-27,856,2019-05-27,9.31,54,80,42000,1946
"07238000","North Canadian River near Seiling, OK",-98.92120570,36.18337277,12555,11,6,13,2,14,0,2019-05-26,2630,2019-05-26,13.12,38,72,33000,1951
"07239300","North Canadian River blw Weavers Ck nr Watonga, OK",-98.42090530,35.81198860,13023,15,6,17,1,18,0,2019-05-26,3720,2019-05-26,17.51,6,34,7220,2007
"07239500","North Canadian River near El Reno, OK",-97.95754980,35.56310656,13317,17,1,19,1,21,0,2019-05-21,10800,2019-05-21,19.35,6,85,23800,2007
"07239700","North Canadian River near Yukon, OK",-97.74254420,35.53949850,13456,14,3,16,2,17,0,2019-05-22,19300,2019-05-21,16.85,2,18,25100,2007
"07241000","North Canadian River blw Lk Overholser nr OKC, OK",-97.66337520,35.47866848,13493,24,2,27,0,29,0,2019-05-22,10300,2019-05-22,25.35,8,65,135000,1923
